ID,Band0,Band1,Band2,Class
4468,94.0,43.0,39.0,1
4469,91.0,42.0,37.0,1
4470,102.0,53.0,49.0,1
4471,79.0,31.0,27.0,1
4472,69.0,21.0,17.0,1
4473,67.0,22.0,17.0,1
4474,66.0,25.0,19.0,1
4475,83.0,44.0,39.0,1
4476,83.0,46.0,40.0,1
4477,63.0,28.0,24.0,1
4478,53.0,18.0,16.0,1
4479,60.0,22.0,21.0,1
4480,68.0,30.0,27.0,1
4481,66.0,27.0,22.0,1
4482,85.0,44.0,38.0,1
4483,82.0,39.0,32.0,1
4484,99.0,56.0,49.0,1
4485,79.0,36.0,30.0,1
4486,66.0,25.0,19.0,1
4487,126.0,56.0,54.0,1
4488,114.0,56.0,54.0,1
4489,50.0,5.0,2.0,1
4490,45.0,10.0,8.0,1
4491,48.0,20.0,17.0,1
4492,43.0,19.0,15.0,1
4493,44.0,20.0,16.0,1
4494,58.0,30.0,26.0,1
4495,59.0,24.0,20.0,1
4496,63.0,23.0,21.0,1
4497,67.0,23.0,20.0,1
4498,77.0,32.0,29.0,1
4499,93.0,48.0,45.0,1
4500,103.0,58.0,55.0,1
4501,96.0,51.0,48.0,1
4502,69.0,21.0,17.0,1
4503,61.0,10.0,7.0,1
4504,77.0,22.0,19.0,1
4505,85.0,26.0,22.0,1
4506,112.0,49.0,44.0,1
4507,105.0,35.0,33.0,1
4508,123.0,49.0,46.0,1
4509,110.0,35.0,32.0,1
4510,104.0,28.0,28.0,1
4511,100.0,26.0,25.0,1
4512,91.0,17.0,16.0,1
4513,105.0,33.0,34.0,1
4514,107.0,33.0,32.0,1
4515,115.0,39.0,39.0,1
4516,122.0,48.0,47.0,1
4517,113.0,41.0,42.0,1
4518,91.0,26.0,24.0,1
4519,74.0,14.0,13.0,1
4520,92.0,36.0,35.0,1
4521,76.0,22.0,20.0,1
4522,92.0,38.0,36.0,1
4523,88.0,32.0,31.0,1
4524,69.0,13.0,12.0,1
4525,92.0,37.0,34.0,1
4526,98.0,43.0,40.0,1
4527,74.0,20.0,18.0,1
4528,69.0,15.0,13.0,1
4529,91.0,38.0,34.0,1
4530,88.0,37.0,33.0,1
4531,82.0,33.0,28.0,1
4532,71.0,23.0,19.0,1
4533,71.0,23.0,19.0,1
4534,74.0,29.0,24.0,1
4535,85.0,42.0,36.0,1
4536,81.0,42.0,35.0,1
4537,86.0,49.0,43.0,1
4538,78.0,43.0,39.0,1
4539,56.0,21.0,19.0,1
4540,51.0,16.0,14.0,1
4541,57.0,19.0,16.0,1
4542,71.0,34.0,28.0,1
4543,73.0,36.0,28.0,1
4544,84.0,46.0,37.0,1
4545,90.0,52.0,43.0,1
4546,73.0,36.0,28.0,1
4547,61.0,26.0,20.0,1
4548,90.0,26.0,24.0,1
4549,75.0,21.0,19.0,1
4550,69.0,25.0,24.0,1
4551,57.0,22.0,20.0,1
4552,42.0,12.0,10.0,1
4553,41.0,16.0,12.0,1
