ID,Band0,Band1,Band2,Class
5438,65.0,69.0,70.0,4
5439,76.0,80.0,81.0,4
5440,90.0,94.0,93.0,4
5441,102.0,107.0,103.0,4
5442,111.0,116.0,112.0,4
5443,117.0,122.0,116.0,4
5444,118.0,123.0,117.0,4
5445,115.0,120.0,116.0,4
5446,28.0,38.0,37.0,4
5447,42.0,52.0,51.0,4
5448,32.0,41.0,40.0,4
5449,38.0,47.0,46.0,4
5450,42.0,51.0,50.0,4
5451,51.0,60.0,57.0,4
5452,50.0,56.0,54.0,4
5453,46.0,52.0,52.0,4
5454,57.0,63.0,63.0,4
5455,64.0,68.0,69.0,4
5456,52.0,56.0,55.0,4
5457,52.0,57.0,53.0,4
5458,46.0,53.0,46.0,4
5459,51.0,56.0,50.0,4
5460,46.0,51.0,45.0,4
5461,57.0,62.0,56.0,4
5462,22.0,34.0,34.0,4
5463,26.0,38.0,36.0,4
5464,33.0,43.0,42.0,4
5465,21.0,31.0,30.0,4
5466,19.0,29.0,28.0,4
5467,20.0,30.0,29.0,4
5468,21.0,30.0,29.0,4
5469,30.0,38.0,40.0,4
5470,42.0,50.0,52.0,4
5471,40.0,45.0,48.0,4
5472,40.0,46.0,46.0,4
5473,55.0,61.0,59.0,4
5474,56.0,65.0,60.0,4
5475,62.0,68.0,64.0,4
5476,65.0,71.0,67.0,4
5477,72.0,78.0,74.0,4
5478,24.0,36.0,36.0,4
5479,28.0,40.0,38.0,4
5480,17.0,29.0,27.0,4
5481,17.0,27.0,26.0,4
5482,23.0,33.0,32.0,4
5483,23.0,33.0,32.0,4
5484,27.0,37.0,36.0,4
5485,30.0,38.0,40.0,4
5486,31.0,39.0,41.0,4
5487,25.0,33.0,35.0,4
5488,25.0,33.0,35.0,4
5489,25.0,35.0,34.0,4
5490,20.0,30.0,29.0,4
5491,26.0,37.0,33.0,4
5492,21.0,32.0,28.0,4
5493,20.0,31.0,27.0,4
5494,56.0,66.0,67.0,4
5495,54.0,64.0,65.0,4
